#950 M-BGP deployment cases by Hurricane Electric (AS6939) identified before 20200510.
#Format: 
#border router|peeringASN,<neighbor address list by show ip bgp summary (separated by comma)>|prefix,<Next-hop list by show ip bgp route detail (separated by comma)>
ash1|13414,206.53.170.23,206.126.236.97|69.195.190.0/24,206.53.170.23,206.126.236.97
ash1|14630,206.126.236.83,206.126.238.24|205.174.0.0/24,206.126.238.24,206.126.236.83
ash1|15211,206.126.237.145,206.126.237.146|74.122.189.0/24,206.126.237.146,206.126.237.145
ash1|16509,206.126.236.35,206.126.236.68|99.83.255.0/24,206.126.236.35,206.126.236.68
ash1|19679,206.126.236.74,206.126.237.74|45.58.71.0/24,206.126.237.74,206.126.236.74
ash1|25751,206.53.170.17,206.53.170.18,206.126.237.159,206.126.237.160|8.18.45.0/24,206.126.237.159,206.53.170.17,206.53.170.18,206.126.237.160
ash1|2635,206.126.236.197,206.126.237.124|198.181.117.0/24,206.126.237.124,206.126.236.197
ash1|26667,206.126.237.164,206.126.237.165|192.203.231.0/24,206.126.237.164,206.126.237.165
ash1|27471,206.126.236.209,206.126.236.211|148.64.16.0/24,206.126.236.209,206.126.236.211
ash1|32286,206.126.237.84,206.126.237.138|199.102.235.0/24,206.126.237.138,206.126.237.84
ash1|32590,206.126.237.32,206.126.237.222|162.254.192.0/24,206.126.237.222,206.126.237.32
ash1|33438,206.126.238.61,206.126.238.62|69.16.186.0/24,206.126.238.61,206.126.238.62
ash1|36459,206.126.237.27,206.126.237.205|192.30.253.0/24,206.126.237.27,206.126.237.205
ash1|394497,206.126.237.77,206.126.237.178|98.124.232.0/24,206.126.237.178,206.126.237.77
ash1|40526,206.126.237.246,206.126.237.247|8.18.111.0/24,206.126.237.247,206.126.237.246
ash1|46489,206.126.236.193,206.126.237.193|192.108.239.0/24,206.126.236.193,206.126.237.193
ash1|47254,206.126.238.17,206.126.238.18|159.117.207.0/24,206.126.238.18,206.126.238.17
ash1|54113,206.126.237.168,206.126.237.169|23.235.37.0/24,206.126.237.168,206.126.237.169
ash1|55182,206.126.238.46,206.126.238.47|108.174.89.0/24,206.126.238.47,206.126.238.46
ash1|63440,206.126.237.147,206.126.237.154|64.16.233.0/24,206.126.237.147,206.126.237.154
ash1|6614,206.126.237.91,206.126.237.92|166.181.4.0/24,206.126.237.91,206.126.237.92
ash1|6830,206.126.236.104,206.126.236.117|80.96.10.0/24,206.126.236.104,206.126.236.117
ash1|714,206.126.237.51,206.126.237.103|17.84.199.0/24,206.126.237.103,206.126.237.51
ash1|8075,206.53.170.12,206.126.236.17,206.126.236.148|40.66.166.0/24,206.126.236.17,206.53.170.12,206.126.236.148
atl1|10310,198.32.132.233,198.32.132.234|68.180.160.0/24,198.32.132.233,198.32.132.234
atl1|13414,198.32.132.111,198.32.132.112|69.195.190.0/24,198.32.132.111,198.32.132.112
atl1|16509,198.32.132.95,198.32.132.251|99.83.254.0/24,198.32.132.95,198.32.132.251
atl1|22616,198.32.132.142,198.32.132.143|104.129.204.0/24,198.32.132.142,198.32.132.143
atl1|33438,198.32.132.39,198.32.132.223|205.185.217.0/24,198.32.132.223,198.32.132.39
atl1|46489,198.32.132.238,198.32.132.239|192.108.239.0/24,198.32.132.238,198.32.132.239
atl1|62887,198.32.132.137,206.123.24.121|23.130.0.0/24,206.123.24.121,198.32.132.137
atl1|714,198.32.132.140,198.32.132.180,198.32.182.39,198.32.182.40|17.84.199.0/24,198.32.132.180,198.32.132.140,198.32.182.39
ber1|12732,193.178.185.1,193.178.185.2,194.9.117.2|91.199.214.0/24,193.178.185.1,193.178.185.2,194.9.117.2
ber1|13335,193.178.185.17,194.9.117.74|8.31.161.0/24,194.9.117.74,193.178.185.17
ber1|201701,193.178.185.74,194.9.117.75,194.9.117.76|185.66.195.0/24,194.9.117.75,194.9.117.76,193.178.185.74
ber1|29670,193.178.185.50,193.178.185.51,194.9.117.5,194.9.117.6|193.29.188.0/24,193.178.185.50,194.9.117.6,193.178.185.51,194.9.117.5
ber1|31529,193.178.185.66,194.9.117.37|194.0.0.0/24,193.178.185.66,194.9.117.37
ber1|42,193.178.185.27,194.9.117.7|65.22.4.0/24,194.9.117.7,193.178.185.27
ber1|6724,193.178.185.54,194.9.117.61|194.45.97.0/24,193.178.185.54,194.9.117.61
ber1|6805,193.178.185.101,193.178.185.108,194.9.117.17,194.9.117.54|194.15.237.0/24,194.9.117.54,193.178.185.101,194.9.117.17,193.178.185.108
ber1|714,193.178.185.19,193.178.185.24,194.9.117.95,194.9.117.96|17.84.208.0/24,194.9.117.95,194.9.117.96,193.178.185.24,193.178.185.19
ber1|8075,193.178.185.84,193.178.185.104|40.66.166.0/24,193.178.185.84,193.178.185.104
bts1|2607,192.108.148.10,192.108.148.11|192.108.131.0/24,192.108.148.11,192.108.148.10
bts1|48326,192.108.148.170,192.108.148.171|193.8.93.0/24,192.108.148.170,192.108.148.171
