#This ducoment lists the peering ASes of Hurricane Electric via IXP at each border router.
#Format:
#border router|peering ASN,<list of neighbor addresses (separated by comma)>
ams1|13101,80.249.209.119
ams1|12389,80.249.209.121
ams1|3209,80.249.208.123,80.249.209.123
ams1|31216,80.249.209.124
ams1|9115,80.249.209.127
ams1|33891,80.249.209.128
ams1|39704,80.249.209.130
ams1|197000,80.249.209.132
ams1|34141,80.249.209.136
ams1|12732,80.249.209.137
ams1|15763,80.249.209.138
ams1|1257,80.249.209.139
ams1|30094,80.249.209.141
ams1|33915,80.249.209.143
ams1|6908,80.249.209.145
ams1|15557,80.249.209.147
ams1|49685,80.249.209.148,80.249.209.149
ams1|44788,80.249.209.151
ams1|3216,80.249.209.153
ams1|34106,80.249.208.156,80.249.209.156
ams1|31500,80.249.209.157
ams1|31529,80.249.209.160
ams1|31122,80.249.209.161
ams1|15133,80.249.208.151,80.249.209.162
ams1|10310,80.249.209.110,80.249.209.163
ams1|29396,80.249.208.154,80.249.209.166
ams1|8764,80.249.209.168
ams1|29263,80.249.208.129,80.249.209.172
ams1|15435,80.249.208.149,80.249.209.173
ams1|262532,80.249.209.175
ams1|14907,80.249.209.176
ams1|13122,80.249.209.178
ams1|9150,80.249.208.139,80.249.209.179
ams1|9050,80.249.209.180
ams1|35320,80.249.209.183
ams1|59865,80.249.209.186
ams1|29791,80.249.209.187
ams1|8359,80.249.209.188
ams1|58138,80.249.209.189
ams1|2119,80.249.209.192
ams1|208844,80.249.209.195
ams1|41095,80.249.209.196
ams1|20562,80.249.208.189,80.249.209.197
ams1|13193,80.249.209.198
ams1|2828,80.249.209.200
ams1|2603,80.249.209.203
ams1|38915,80.249.209.205
ams1|8447,80.249.209.207
ams1|20940,80.249.208.168,80.249.209.208
ams1|13768,80.249.209.209
ams1|1239,80.249.209.214
ams1|16265,80.249.208.215,80.249.209.215
ams1|9002,80.249.209.216
ams1|8365,80.249.209.217
ams1|47886,80.249.208.245,80.249.209.222
ams1|23393,80.249.209.223
ams1|20504,80.249.208.186,80.249.209.225
ams1|20969,80.249.209.227
ams1|8426,80.249.208.82,80.249.209.228
ams1|7342,80.249.209.232
ams1|18705,80.249.209.234
ams1|12552,80.249.209.235
ams1|1248,80.249.209.238
ams1|3327,80.249.209.242
ams1|12874,80.249.209.243
ams1|29169,80.249.209.244
ams1|16276,80.249.209.231,80.249.209.245
ams1|31334,80.249.209.249
ams1|3856,80.249.209.250
ams1|48237,80.249.209.254
ams1|3214,80.249.209.255
ams1|39923,80.249.210.8
ams1|13002,80.249.210.10
ams1|134390,80.249.210.12
ams1|12578,80.249.210.13
ams1|15958,80.249.210.14
ams1|4651,80.249.210.15
ams1|29140,80.249.210.17
ams1|24904,80.249.210.22
ams1|6834,80.249.210.25
ams1|61029,80.249.210.26
ams1|39120,80.249.210.28
ams1|5394,80.249.210.29
ams1|9304,80.249.210.31
ams1|9036,80.249.210.36
ams1|34177,80.249.210.38
ams1|198792,80.249.210.41
ams1|16347,80.249.210.42
ams1|3223,80.249.210.43
ams1|2611,80.249.208.43,80.249.210.44
ams1|34863,80.249.210.45
ams1|13414,80.249.208.130,80.249.210.46
ams1|25180,80.249.210.52
ams1|31078,80.249.210.64
ams1|1101,80.249.210.65
ams1|43898,80.249.210.66
ams1|54312,80.249.210.75
ams1|59605,80.249.210.78
ams1|36351,80.249.210.82
ams1|25160,80.249.210.85
ams1|31042,80.249.210.89
